epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,185.34,0.95687,2.99521,1.15725,0.42083,0.56684,0.54892,0.41185,0.79789,1.69991,1.03749,0.000158316,0.000158316,0.000158316
2,372.876,0.93278,1.89436,1.12919,0.63729,0.63354,0.66986,0.51058,0.83187,1.34211,1.03955,0.000310707,0.000310707,0.000310707
3,559.246,0.92117,1.55889,1.12034,0.78255,0.64748,0.74454,0.57385,0.81709,1.16187,1.04675,0.000456814,0.000456814,0.000456814
4,745.627,0.91163,1.32497,1.11237,0.80412,0.69122,0.77288,0.61585,0.76099,1.01342,1.00547,0.000447726,0.000447726,0.000447726
5,930.598,0.88614,1.15172,1.09762,0.80162,0.7402,0.81819,0.64942,0.75843,0.86105,1.01077,0.000438301,0.000438301,0.000438301
6,1117.53,0.8637,1.06762,1.08788,0.81858,0.74702,0.85545,0.68975,0.73747,0.78458,1.00295,0.000428876,0.000428876,0.000428876
7,1304.24,0.84662,0.98154,1.07892,0.84839,0.81254,0.86554,0.70812,0.71608,0.71577,0.9852,0.000419451,0.000419451,0.000419451
8,1491.02,0.82546,0.91777,1.06793,0.85258,0.80286,0.88335,0.71466,0.72553,0.65952,0.98989,0.000410026,0.000410026,0.000410026
9,1677.12,0.81932,0.88599,1.06781,0.84371,0.76246,0.85848,0.69957,0.70321,0.66914,0.98276,0.000400602,0.000400602,0.000400602
10,1864.55,0.81197,0.84841,1.05657,0.84275,0.80138,0.88478,0.73184,0.68675,0.63304,0.96452,0.000391177,0.000391177,0.000391177
11,2051.01,0.79559,0.80986,1.0525,0.85469,0.86136,0.91821,0.75353,0.69443,0.59294,0.97398,0.000381752,0.000381752,0.000381752
12,2235.91,0.78435,0.77608,1.04547,0.84896,0.84242,0.90284,0.75224,0.6681,0.5475,0.95969,0.000372327,0.000372327,0.000372327
13,2422.99,0.77936,0.76166,1.04502,0.85823,0.86639,0.91695,0.75248,0.6903,0.552,0.97166,0.000362902,0.000362902,0.000362902
14,2610.71,0.78032,0.7423,1.04167,0.88353,0.87241,0.93805,0.78921,0.65163,0.51212,0.9442,0.000353478,0.000353478,0.000353478
15,2796.48,0.76493,0.70868,1.03613,0.87103,0.88974,0.92991,0.77902,0.65661,0.51394,0.94393,0.000344053,0.000344053,0.000344053
