epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,184.192,0.96414,3.19106,1.13696,0.62445,0.55814,0.53934,0.40956,0.78031,1.81568,0.98462,0.000158316,0.000158316,0.000158316
2,368.757,0.9374,1.99735,1.10628,0.69308,0.60741,0.67094,0.51259,0.81566,1.42988,1.0055,0.000310707,0.000310707,0.000310707
3,553.347,0.93188,1.64333,1.10099,0.68976,0.68309,0.69251,0.52583,0.81725,1.21485,1.01182,0.000456814,0.000456814,0.000456814
4,738.033,0.91644,1.40342,1.09173,0.76771,0.62259,0.71403,0.56268,0.77885,1.07439,0.9763,0.000447726,0.000447726,0.000447726
5,922.223,0.89592,1.22155,1.0813,0.72285,0.65762,0.76712,0.60517,0.78368,1.04208,0.98125,0.000438301,0.000438301,0.000438301
6,1119.64,0.86189,1.11641,1.06649,0.85901,0.77452,0.85139,0.6879,0.7432,0.73129,0.9522,0.000428876,0.000428876,0.000428876
7,1304.93,0.85269,1.02306,1.06335,0.82477,0.74607,0.83084,0.67041,0.71667,0.81473,0.93905,0.000419451,0.000419451,0.000419451
8,1489.62,0.83511,0.9697,1.05404,0.83146,0.83383,0.87782,0.72541,0.68793,0.68201,0.94086,0.000410026,0.000410026,0.000410026
9,1674.06,0.82284,0.90634,1.05137,0.77907,0.76824,0.82806,0.66478,0.72002,0.73213,0.95291,0.000400602,0.000400602,0.000400602
10,1859.06,0.81809,0.8827,1.04346,0.8579,0.83385,0.8922,0.72024,0.71046,0.63921,0.94643,0.000391177,0.000391177,0.000391177
11,2043.07,0.80546,0.83713,1.03768,0.86987,0.84464,0.90807,0.7423,0.69522,0.6124,0.92948,0.000381752,0.000381752,0.000381752
12,2227.44,0.79506,0.80023,1.03433,0.8496,0.83603,0.89164,0.73756,0.66039,0.6236,0.91267,0.000372327,0.000372327,0.000372327
13,2412.52,0.78425,0.77994,1.02935,0.83877,0.86829,0.90555,0.7488,0.67951,0.55868,0.92965,0.000362902,0.000362902,0.000362902
14,2597.59,0.78822,0.75165,1.02881,0.83428,0.86531,0.90265,0.74573,0.67498,0.5761,0.91995,0.000353478,0.000353478,0.000353478
15,2788.52,0.76391,0.72668,1.01666,0.86476,0.8939,0.92778,0.77278,0.65509,0.5068,0.90823,0.000344053,0.000344053,0.000344053
16,2972.99,0.76133,0.70763,1.01855,0.88569,0.87475,0.9312,0.78024,0.64162,0.49639,0.90247,0.000334628,0.000334628,0.000334628
17,3157.2,0.74931,0.68723,1.01007,0.91212,0.90284,0.93591,0.78677,0.63694,0.45232,0.90911,0.000325203,0.000325203,0.000325203
18,3349.44,0.7483,0.68087,1.00768,0.8665,0.91351,0.94037,0.79328,0.63506,0.45853,0.91203,0.000315778,0.000315778,0.000315778
19,3534.97,0.74666,0.66547,1.0104,0.90844,0.89781,0.94574,0.79975,0.6374,0.44221,0.90622,0.000306354,0.000306354,0.000306354
20,3719.21,0.7318,0.63689,1.00688,0.8866,0.90928,0.94137,0.79886,0.63428,0.44749,0.90719,0.000296929,0.000296929,0.000296929
21,3903.5,0.72323,0.62963,1.00156,0.8942,0.90845,0.94437,0.80126,0.62972,0.44825,0.90305,0.000287504,0.000287504,0.000287504
22,4089.11,0.7207,0.60781,0.99981,0.88596,0.90826,0.94468,0.79978,0.62885,0.45993,0.90346,0.000278079,0.000278079,0.000278079
23,4274.16,0.71544,0.61089,0.99462,0.9197,0.91927,0.95116,0.8085,0.61859,0.43102,0.89592,0.000268654,0.000268654,0.000268654
24,4458.68,0.70364,0.58838,0.98766,0.91087,0.90223,0.94861,0.81148,0.61449,0.42412,0.89466,0.00025923,0.00025923,0.00025923
25,4643.45,0.70019,0.58595,0.98831,0.91946,0.92365,0.95277,0.8116,0.62575,0.40175,0.89243,0.000249805,0.000249805,0.000249805
26,4827.69,0.68664,0.562,0.98547,0.92097,0.91294,0.95407,0.81357,0.6137,0.40227,0.89444,0.00024038,0.00024038,0.00024038
27,5012.24,0.69529,0.55732,0.98533,0.95874,0.9091,0.95587,0.82146,0.60765,0.38048,0.88969,0.000230955,0.000230955,0.000230955
28,5196.93,0.68577,0.54707,0.98035,0.91436,0.92234,0.95516,0.82257,0.60389,0.39053,0.88584,0.00022153,0.00022153,0.00022153
29,5382.51,0.68388,0.54495,0.97974,0.94371,0.92865,0.96541,0.83258,0.60554,0.36847,0.88915,0.000212106,0.000212106,0.000212106
