epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,288.494,1.00047,3.04822,1.18513,0.54756,0.58755,0.5619,0.42464,0.81967,1.69689,1.04067,0.00015836,0.00015836,0.00015836
2,575.551,0.91868,1.89571,1.12138,0.77389,0.65958,0.73549,0.57587,0.77373,1.16086,1.01245,0.000254256,0.000254256,0.000254256
3,861.304,0.88611,1.50123,1.10323,0.8121,0.74468,0.8319,0.66191,0.74659,0.93926,0.99141,0.000287319,0.000287319,0.000287319
4,1148.18,0.84566,1.25686,1.0786,0.82896,0.83449,0.89412,0.72871,0.68857,0.71847,0.95881,0.000193256,0.000193256,0.000193256
5,1435.18,0.80034,1.06613,1.04823,0.90395,0.84604,0.9304,0.77413,0.64499,0.59246,0.93242,9.9008e-05,9.9008e-05,9.9008e-05
