epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,3087.46,0.88114,0.91488,1.08581,0.81962,0.80212,0.86741,0.69492,0.73859,0.66918,0.99152,0.008614,0.008614,0.008614
16,3293.01,0.87466,0.89661,1.08133,0.85453,0.75085,0.85634,0.67095,0.80293,0.72512,1.03635,0.008515,0.008515,0.008515
17,3498.86,0.86165,0.865,1.07836,0.81601,0.83251,0.89057,0.72012,0.73326,0.64674,0.9828,0.008416,0.008416,0.008416
18,3705.17,0.85244,0.84658,1.06695,0.84575,0.86302,0.90112,0.72364,0.71346,0.59719,0.9771,0.008317,0.008317,0.008317
19,3910.76,0.84184,0.8248,1.0645,0.83553,0.80876,0.88397,0.71232,0.72334,0.63845,0.98665,0.008218,0.008218,0.008218
20,4115.76,0.83648,0.81954,1.06643,0.8397,0.82751,0.88741,0.71801,0.72849,0.63945,0.9845,0.008119,0.008119,0.008119
21,4321.95,0.82661,0.79255,1.05817,0.8566,0.84616,0.90845,0.74434,0.69722,0.59838,0.97099,0.00802,0.00802,0.00802
22,4528.43,0.82281,0.78739,1.05294,0.86353,0.84447,0.90804,0.73222,0.73437,0.60673,0.97757,0.007921,0.007921,0.007921
23,4733.88,0.81839,0.76424,1.05184,0.92535,0.86379,0.93152,0.77335,0.67905,0.51732,0.95369,0.007822,0.007822,0.007822
24,4939.41,0.80996,0.745,1.04286,0.91221,0.86918,0.93095,0.76677,0.6859,0.51759,0.95191,0.007723,0.007723,0.007723
25,5145.45,0.80582,0.74345,1.04263,0.84176,0.83417,0.89623,0.73958,0.68962,0.61185,0.95742,0.007624,0.007624,0.007624
26,5351.92,0.80002,0.73178,1.03787,0.8885,0.84933,0.91238,0.74779,0.69164,0.55675,0.95795,0.007525,0.007525,0.007525
27,5557.77,0.79717,0.71657,1.0382,0.92285,0.87462,0.93822,0.77116,0.68088,0.49014,0.95579,0.007426,0.007426,0.007426
28,5763.43,0.78375,0.69905,1.03385,0.89732,0.87665,0.93319,0.77522,0.67344,0.49783,0.94,0.007327,0.007327,0.007327
29,5968.59,0.78373,0.69787,1.03128,0.92095,0.86011,0.93927,0.7896,0.65662,0.47893,0.9304,0.007228,0.007228,0.007228
30,6173.61,0.77926,0.67689,1.02966,0.9354,0.87774,0.94434,0.79602,0.6524,0.45977,0.93155,0.007129,0.007129,0.007129
31,6379.31,0.78012,0.67407,1.02855,0.91872,0.90756,0.95302,0.80218,0.65063,0.44578,0.93096,0.00703,0.00703,0.00703
32,6584.94,0.77571,0.67447,1.02937,0.91765,0.92326,0.95701,0.80734,0.65263,0.44214,0.93168,0.006931,0.006931,0.006931
33,6790.1,0.7611,0.66155,1.0232,0.9108,0.90558,0.94995,0.79344,0.64982,0.44556,0.92857,0.006832,0.006832,0.006832
34,6995.41,0.76106,0.64946,1.02032,0.92622,0.90897,0.95234,0.7957,0.64508,0.4535,0.92739,0.006733,0.006733,0.006733
35,7200.6,0.76232,0.66331,1.01844,0.91689,0.90113,0.95014,0.80513,0.63381,0.42943,0.92447,0.006634,0.006634,0.006634
36,7405.88,0.75023,0.63578,1.01656,0.90892,0.91732,0.95085,0.80594,0.62823,0.42119,0.91567,0.006535,0.006535,0.006535
37,7610.9,0.75049,0.6284,1.01345,0.90649,0.91983,0.95577,0.809,0.63901,0.42794,0.92595,0.006436,0.006436,0.006436
38,7816.19,0.74899,0.6165,1.01645,0.95156,0.89791,0.95747,0.81853,0.62121,0.4022,0.91501,0.006337,0.006337,0.006337
39,8021.45,0.74276,0.61669,1.0109,0.95195,0.92362,0.96419,0.82466,0.61816,0.38893,0.91308,0.006238,0.006238,0.006238
40,8227.13,0.73868,0.60817,1.00871,0.92966,0.92025,0.96186,0.82429,0.62374,0.39113,0.91778,0.006139,0.006139,0.006139
41,8432.19,0.7292,0.59488,1.00463,0.94255,0.92045,0.96371,0.82161,0.62183,0.39572,0.9152,0.00604,0.00604,0.00604
42,8637.23,0.73455,0.59814,1.00753,0.93021,0.92009,0.96311,0.82401,0.61601,0.38948,0.91175,0.005941,0.005941,0.005941
43,8842.64,0.72666,0.5872,1.00668,0.93118,0.92044,0.9589,0.8194,0.61468,0.39383,0.9112,0.005842,0.005842,0.005842
44,9047.78,0.72451,0.5835,1.00187,0.93156,0.9359,0.96776,0.82771,0.6139,0.37961,0.90937,0.005743,0.005743,0.005743
45,9253.12,0.72203,0.57894,0.99934,0.95077,0.9268,0.96795,0.83175,0.61244,0.37154,0.90942,0.005644,0.005644,0.005644
